,created_at,id,text
0,2022-07-08T00:41:27.000Z,1545206394177077250,"RT @FlairAirlines: Our NEW route to Montreal has taken off!

Today's service to #YUL was the first of 2 NEW connections launching this week…"
1,2022-07-07T23:37:09.000Z,1545190210383798282,"@JKal @FlairAirlines Honestly, fantastic."
2,2022-07-07T23:35:53.000Z,1545189892287737856,RT @AviationJobsMe: #B737 Non Type Rated First Officers @FlairAirlines Canada #recruitment https://t.co/eKtCm2DT2v https://t.co/JHJc16NUph
3,2022-07-07T23:31:28.000Z,1545188780839440385,@jedjohns @AirCanada @FlairAirlines balls!
4,2022-07-07T23:26:31.000Z,1545187537748115457,@JennJefferys @AirCanada @FlairAirlines not from Edmonton lol 😭
5,2022-07-07T23:23:32.000Z,1545186783947890688,@jedjohns @AirCanada @FlairAirlines can you take the train?
6,2022-07-07T23:22:28.000Z,1545186516137295874,"@FlairAirlines The lounge probably is beautiful. @FlairAirlines had nothing to do with it. You have no staff, your flights constantly get cancelled, your CEO @stephenjonesnz is a joke, his handler Reshad should probably work at ikea, but they think the lounge is beautiful. Nothing else matters"
7,2022-07-07T23:12:05.000Z,1545183905812467712,#B737 Non Type Rated First Officers @FlairAirlines Canada #recruitment https://t.co/eKtCm2DT2v https://t.co/JHJc16NUph
8,2022-07-07T23:07:41.000Z,1545182796460720128,@drewdilkens @FlairAirlines @YQG_Airport Wow look at all the happy people 🤣🤣🤣🤣🤣🤣🤣. This is fake news at its finest. @FlairAirlines doesn't have send offs. They have cancellation parties where they laugh at the people that paid for a seat and never got to get their destination. It's what flair does!!!
9,2022-07-07T23:05:21.000Z,1545182208062898178,@FlairAirlines @YQG_Airport The only thing taking off with this embarrassment of an airline are the cancellations and complaints. @stephenjonesnz should be fired for his complete lack of customer service. 8 hours on hold to talk to someone!!?? If you gamble with this joke of an airline.......good luck!
10,2022-07-07T22:57:45.000Z,1545180295388749824,@FlairAirlines is literally the most trash fucking airline . They hung up on me twice after waiting for 2 hours and their “online support” is a robot with the IQ of a goldfish . They owe me money and it’s impossible to speak to a real person . FUCK YOU FLAIR 🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽
11,2022-07-07T22:56:47.000Z,1545180051557076992,"@FlairAirlines you are complete tire fire of a company. I never wish anyone to lose their job, but I hope your company goes out of business. #worstairlineever"
12,2022-07-07T22:56:21.000Z,1545179944304640002,"@FlairAirlines so my husband is supposed to “let the airline know” that  he needs to bring his c-pap on his upcoming flight. The question is, how?"
13,2022-07-07T22:53:36.000Z,1545179251732877313,RT @lindsaymwong: Ugh. @FlairAirlines just cancelled my flight back to Vancouver. Guess Winnipeg wants me to stay but I have to teach on Tu…
14,2022-07-07T22:44:38.000Z,1545176996598239233,Ugh. @FlairAirlines just cancelled my flight back to Vancouver. Guess Winnipeg wants me to stay but I have to teach on Tuesday. I hope they consider reimbursing people more than $600 for their expensive last minute flights home. 😭 And folks who can’t afford hotels for a week!😭
15,2022-07-07T22:40:43.000Z,1545176008684253185,RT @RustyThomson800: A special welcome at #Windsor International Airport as the first ⁦@FlairAirlines⁩ flight from Montreal arrives ⁦@YQG_A…
